"units","objectType","objects","OID","status","index","ID","objectFullName","defval","objectSyntax","description","maxAccess","augments","reference","objectName","parent","module"
"","OBJECT-GROUP","{ sctpAssocT1expireds, sctpAssocT2expireds, sctpAssocRtxChunks, sctpAssocRemAddrRtx }","1.3.6.1.2.1.104.2.2.4","current","","4","SCTP-MIB::sctpPerAssocStatsGroup","","","""Per Association Statistics group. It includes the objects to collect flow control statistics per association.""","","","","sctpPerAssocStatsGroup","sctpMibGroups","SCTP-MIB"
"","OBJECT-GROUP","{ sctpLookupLocalPortStartTime, sctpLookupRemPortStartTime, sctpLookupRemHostNameStartTime, sctpLookupRemPrimIPAddrStartTime, sctpLookupRemIPAddrStartTime }","1.3.6.1.2.1.104.2.2.5","current","","5","SCTP-MIB::sctpInverseGroup","","","""Objects used in the inverse lookup tables.""","","","","sctpInverseGroup","sctpMibGroups","SCTP-MIB"
"","MODULE-COMPLIANCE","","1.3.6.1.2.1.104.2.1.1","","","1","SCTP-MIB::sctpMibCompliance","","","","","","","sctpMibCompliance","sctpMibCompliances","SCTP-MIB"
"","IMPORT","{ MODULE-IDENTITY,OBJECT-TYPE,OBJECT-IDENTITY,snmpModules }","","","","","SNMP-FRAMEWORK-MIB::","","","Objects imported from Module: SNMPv2-SMI","","","","SNMPv2-SMI","","SNMP-FRAMEWORK-MIB"
"","MODULE-IDENTITY","","1.3.6.1.6.3.10","","","10","SNMP-FRAMEWORK-MIB::snmpFrameworkMIB","","","""The SNMP Management Architecture MIB Copyright (C) The Internet Society (2002). This version of this MIB module is part of RFC 3411; see the RFC itself for full legal notices.""","","","","snmpFrameworkMIB","snmpModules","SNMP-FRAMEWORK-MIB"
"","TEXTUAL-CONVENTION","","","current","","","SNMP-FRAMEWORK-MIB::SnmpEngineID","","OCTET STRING (SIZE(5..32))","""An SNMP engine's administratively-unique identifier. Objects of this type are for identification, not for addressing, even though it is possible that an address may have been used in the generation of a specific value. The value for this object may not be all zeros or all 'ff'H or the empty (zero length) string. The initial value for this object may be configured via an operator console entry or via an algorithmic function. In the latter case, the following example algorithm is recommended. In cases where there are multiple engines on the same system, the use of this algorithm is NOT appropriate, as it would result in all of those engines ending up with the same ID value. 1) The very first bit is used to indicate how the rest of the data is composed. 0 - as defined by enterprise using former methods that existed before SNMPv3. See item 2 below. 1 - as defined by this architecture, see item 3 below. Note that this allows existing uses of the engineID (also known as AgentID [RFC1910]) to co-exist with any new uses. 2) The snmpEngineID has a length of 12 octets. The first four octets are set to the binary equivalent of the agent's SNMP management private enterprise number as assigned by the Internet Assigned Numbers Authority (IANA). For example, if Acme Networks has been assigned { enterprises 696 }, the first four octets would be assigned '000002b8'H. The remaining eight octets are determined via one or more enterprise-specific methods. Such methods must be designed so as to maximize the possibility that the value of this object will be unique in the agent's administrative domain. For example, it may be the IP address of the SNMP entity, or the MAC address of one of the interfaces, with each address suitably padded with random octets. If multiple methods are defined, then it is recommended that the first octet indicate the method being used and the remaining octets be a function of the method. 3) The length of the octet string varies. The first four octets are set to the binary equivalent of the agent's SNMP management private enterprise number as assigned by the Internet Assigned Numbers Authority (IANA). For example, if Acme Networks has been assigned { enterprises 696 }, the first four octets would be assigned '000002b8'H. The very first bit is set to 1. For example, the above value for Acme Networks now changes to be '800002b8'H. The fifth octet indicates how the rest (6th and following octets) are formatted. The values for the fifth octet are: 0 - reserved, unused. 1 - IPv4 address (4 octets) lowest non-special IP address 2 - IPv6 address (16 octets) lowest non-special IP address 3 - MAC address (6 octets) lowest IEEE MAC address, canonical order 4 - Text, administratively assigned Maximum remaining length 27 5 - Octets, administratively assigned Maximum remaining length 27 6-127 - reserved, unused 128-255 - as defined by the enterprise Maximum remaining length 27""","","","","SnmpEngineID","","SNMP-FRAMEWORK-MIB"
"","TEXTUAL-CONVENTION","","","current","","","SNMP-FRAMEWORK-MIB::SnmpSecurityModel","","INTEGER(0 .. 2147483647)","""An identifier that uniquely identifies a Security Model of the Security Subsystem within this SNMP Management Architecture. The values for securityModel are allocated as follows: - The zero value does not identify any particular security model. - Values between 1 and 255, inclusive, are reserved for standards-track Security Models and are managed by the Internet Assigned Numbers Authority (IANA). - Values greater than 255 are allocated to enterprise-specific Security Models. An enterprise-specific securityModel value is defined to be: enterpriseID * 256 + security model within enterprise For example, the fourth Security Model defined by the enterprise whose enterpriseID is 1 would be 259. This scheme for allocation of securityModel values allows for a maximum of 255 standards- based Security Models, and for a maximum of 256 Security Models per enterprise. It is believed that the assignment of new securityModel values will be rare in practice because the larger the number of simultaneously utilized Security Models, the larger the chance that interoperability will suffer. Consequently, it is believed that such a range will be sufficient. In the unlikely event that the standards committee finds this number to be insufficient over time, an enterprise number can be allocated to obtain an additional 256 possible values. Note that the most significant bit must be zero; hence, there are 23 bits allocated for various organizations to design and define non-standard securityModels. This limits the ability to define new proprietary implementations of Security Models to the first 8,388,608 enterprises. It is worthwhile to note that, in its encoded form, the securityModel value will normally require only a single byte since, in practice, the leftmost bits will be zero for most messages and sign extension is suppressed by the encoding rules. As of this writing, there are several values of securityModel defined for use with SNMP or reserved for use with supporting MIB objects. They are as follows: 0 reserved for 'any' 1 reserved for SNMPv1 2 reserved for SNMPv2c 3 User-Based Security Model (USM)""","","","","SnmpSecurityModel","","SNMP-FRAMEWORK-MIB"
"","TEXTUAL-CONVENTION","","","current","","","SNMP-FRAMEWORK-MIB::SnmpMessageProcessingModel","","INTEGER(0 .. 2147483647)","""An identifier that uniquely identifies a Message Processing Model of the Message Processing Subsystem within this SNMP Management Architecture. The values for messageProcessingModel are allocated as follows: - Values between 0 and 255, inclusive, are reserved for standards-track Message Processing Models and are managed by the Internet Assigned Numbers Authority (IANA). - Values greater than 255 are allocated to enterprise-specific Message Processing Models. An enterprise messageProcessingModel value is defined to be: enterpriseID * 256 + messageProcessingModel within enterprise For example, the fourth Message Processing Model defined by the enterprise whose enterpriseID is 1 would be 259. This scheme for allocating messageProcessingModel values allows for a maximum of 255 standards- based Message Processing Models, and for a maximum of 256 Message Processing Models per enterprise. It is believed that the assignment of new messageProcessingModel values will be rare in practice because the larger the number of simultaneously utilized Message Processing Models, the larger the chance that interoperability will suffer. It is believed that such a range will be sufficient. In the unlikely event that the standards committee finds this number to be insufficient over time, an enterprise number can be allocated to obtain an additional 256 possible values. Note that the most significant bit must be zero; hence, there are 23 bits allocated for various organizations to design and define non-standard messageProcessingModels. This limits the ability to define new proprietary implementations of Message Processing Models to the first 8,388,608 enterprises. It is worthwhile to note that, in its encoded form, the messageProcessingModel value will normally require only a single byte since, in practice, the leftmost bits will be zero for most messages and sign extension is suppressed by the encoding rules. As of this writing, there are several values of messageProcessingModel defined for use with SNMP. They are as follows: 0 reserved for SNMPv1 1 reserved for SNMPv2c 2 reserved for SNMPv2u and SNMPv2* 3 reserved for SNMPv3""","","","","SnmpMessageProcessingModel","","SNMP-FRAMEWORK-MIB"
"","TEXTUAL-CONVENTION","","","current","","","SNMP-FRAMEWORK-MIB::SnmpSecurityLevel","","INTEGER { noAuthNoPriv(1), authNoPriv(2), authPriv(3) }","""A Level of Security at which SNMP messages can be sent or with which operations are being processed; in particular, one of: noAuthNoPriv - without authentication and without privacy, authNoPriv - with authentication but without privacy, authPriv - with authentication and with privacy. These three values are ordered such that noAuthNoPriv is less than authNoPriv and authNoPriv is less than authPriv.""","","","","SnmpSecurityLevel","","SNMP-FRAMEWORK-MIB"
"","TEXTUAL-CONVENTION","","","current","","","SNMP-FRAMEWORK-MIB::SnmpAdminString","","OCTET STRING (SIZE (0..255))","""An octet string containing administrative information, preferably in human-readable form. To facilitate internationalization, this information is represented using the ISO/IEC IS 10646-1 character set, encoded as an octet string using the UTF-8 transformation format described in [RFC2279]. Since additional code points are added by amendments to the 10646 standard from time to time, implementations must be prepared to encounter any code point from 0x00000000 to 0x7fffffff. Byte sequences that do not correspond to the valid UTF-8 encoding of a code point or are outside this range are prohibited. The use of control codes should be avoided. When it is necessary to represent a newline, the control code sequence CR LF should be used. The use of leading or trailing white space should be avoided. For code points not directly supported by user interface hardware or software, an alternative means of entry and display, such as hexadecimal, may be provided. For information encoded in 7-bit US-ASCII, the UTF-8 encoding is identical to the US-ASCII encoding. UTF-8 may require multiple bytes to represent a single character / code point; thus the length of this object in octets may be different from the number of characters encoded. Similarly, size constraints refer to the number of encoded octets, not the number of characters represented by an encoding. Note that when this TC is used for an object that is used or envisioned to be used as an index, then a SIZE restriction MUST be specified so that the number of sub-identifiers for any object instance does not exceed the limit of 128, as defined by [RFC3416]. Note that the size of an SnmpAdminString object is measured in octets, not characters.""","","","","SnmpAdminString","","SNMP-FRAMEWORK-MIB"
"","OBJECT IDENTIFIER","","1.3.6.1.6.3.10.1","","","1","SNMP-FRAMEWORK-MIB::snmpFrameworkAdmin","","","","","","","snmpFrameworkAdmin","snmpFrameworkMIB","SNMP-FRAMEWORK-MIB"
"","OBJECT IDENTIFIER","","1.3.6.1.6.3.10.2","","","2","SNMP-FRAMEWORK-MIB::snmpFrameworkMIBObjects","","","","","","","snmpFrameworkMIBObjects","snmpFrameworkMIB","SNMP-FRAMEWORK-MIB"
"","OBJECT IDENTIFIER","","1.3.6.1.6.3.10.3","","","3","SNMP-FRAMEWORK-MIB::snmpFrameworkMIBConformance","","","","","","","snmpFrameworkMIBConformance","snmpFrameworkMIB","SNMP-FRAMEWORK-MIB"
"","OBJECT IDENTIFIER","","1.3.6.1.6.3.10.2.1","","","1","SNMP-FRAMEWORK-MIB::snmpEngine","","","","","","","snmpEngine","snmpFrameworkMIBObjects","SNMP-FRAMEWORK-MIB"
"","OBJECT-TYPE","","1.3.6.1.6.3.10.2.1.2","current","","2","SNMP-FRAMEWORK-MIB::snmpEngineBoots","","INTEGER (1..2147483647)","""The number of times that the SNMP engine has (re-)initialized itself since snmpEngineID was last configured.""","read-only","","","snmpEngineBoots","snmpEngine","SNMP-FRAMEWORK-MIB"
"""seconds""","OBJECT-TYPE","","1.3.6.1.6.3.10.2.1.3","current","","3","SNMP-FRAMEWORK-MIB::snmpEngineTime","","INTEGER (0..2147483647)","""The number of seconds since the value of the snmpEngineBoots object last changed. When incrementing this object's value would cause it to exceed its maximum, snmpEngineBoots is incremented as if a re-initialization had occurred, and this object's value consequently reverts to zero.""","read-only","","","snmpEngineTime","snmpEngine","SNMP-FRAMEWORK-MIB"
"","OBJECT-TYPE","","1.3.6.1.6.3.10.2.1.4","current","","4","SNMP-FRAMEWORK-MIB::snmpEngineMaxMessageSize","","INTEGER (484..2147483647)","""The maximum length in octets of an SNMP message which this SNMP engine can send or receive and process, determined as the minimum of the maximum message size values supported among all of the transports available to and supported by the engine.""","read-only","","","snmpEngineMaxMessageSize","snmpEngine","SNMP-FRAMEWORK-MIB"
"","OBJECT IDENTIFIER","","1.3.6.1.6.3.10.1.1","","","1","SNMP-FRAMEWORK-MIB::snmpAuthProtocols","","","","","","","snmpAuthProtocols","snmpFrameworkAdmin","SNMP-FRAMEWORK-MIB"
"","OBJECT IDENTIFIER","","1.3.6.1.6.3.10.1.2","","","2","SNMP-FRAMEWORK-MIB::snmpPrivProtocols","","","","","","","snmpPrivProtocols","snmpFrameworkAdmin","SNMP-FRAMEWORK-MIB"
"","OBJECT IDENTIFIER","","1.3.6.1.6.3.10.3.1","","","1","SNMP-FRAMEWORK-MIB::snmpFrameworkMIBCompliances","","","","","","","snmpFrameworkMIBCompliances","snmpFrameworkMIBConformance","SNMP-FRAMEWORK-MIB"
"","OBJECT IDENTIFIER","","1.3.6.1.6.3.10.3.2","","","2","SNMP-FRAMEWORK-MIB::snmpFrameworkMIBGroups","","","","","","","snmpFrameworkMIBGroups","snmpFrameworkMIBConformance","SNMP-FRAMEWORK-MIB"
"","MODULE-COMPLIANCE","","1.3.6.1.6.3.10.3.1.1","","","1","SNMP-FRAMEWORK-MIB::snmpFrameworkMIBCompliance","","","","","","","snmpFrameworkMIBCompliance","snmpFrameworkMIBCompliances","SNMP-FRAMEWORK-MIB"
"","OBJECT-GROUP","{ snmpEngineID, snmpEngineBoots, snmpEngineTime, snmpEngineMaxMessageSize }","1.3.6.1.6.3.10.3.2.1","current","","1","SNMP-FRAMEWORK-MIB::snmpEngineGroup","","","""A collection of objects for identifying and determining the configuration and current timeliness values of an SNMP engine.""","","","","snmpEngineGroup","snmpFrameworkMIBGroups","SNMP-FRAMEWORK-MIB"
"","IMPORT","{ MODULE-COMPLIANCE,OBJECT-GROUP }","","","","","SNMP-MPD-MIB::","","","Objects imported from Module: SNMPv2-CONF","","","","SNMPv2-CONF","","SNMP-MPD-MIB"
"","MODULE-IDENTITY","","1.3.6.1.6.3.11","","","11","SNMP-MPD-MIB::snmpMPDMIB","","","""The MIB for Message Processing and Dispatching Copyright (C) The Internet Society (2002). This version of this MIB module is part of RFC 3412; see the RFC itself for full legal notices.""","","","","snmpMPDMIB","snmpModules","SNMP-MPD-MIB"
"","OBJECT IDENTIFIER","","1.3.6.1.6.3.11.1","","","1","SNMP-MPD-MIB::snmpMPDAdmin","","","","","","","snmpMPDAdmin","snmpMPDMIB","SNMP-MPD-MIB"
"","OBJECT IDENTIFIER","","1.3.6.1.6.3.11.2","","","2","SNMP-MPD-MIB::snmpMPDMIBObjects","","","","","","","snmpMPDMIBObjects","snmpMPDMIB","SNMP-MPD-MIB"
"","OBJECT IDENTIFIER","","1.3.6.1.6.3.11.3","","","3","SNMP-MPD-MIB::snmpMPDMIBConformance","","","","","","","snmpMPDMIBConformance","snmpMPDMIB","SNMP-MPD-MIB"
"","OBJECT IDENTIFIER","","1.3.6.1.6.3.11.2.1","","","1","SNMP-MPD-MIB::snmpMPDStats","","","","","","","snmpMPDStats","snmpMPDMIBObjects","SNMP-MPD-MIB"
"","OBJECT-TYPE","","1.3.6.1.6.3.11.2.1.1","current","","1","SNMP-MPD-MIB::snmpUnknownSecurityModels","","Counter32","""The total number of packets received by the SNMP engine which were dropped because they referenced a securityModel that was not known to or supported by the SNMP engine.""","read-only","","","snmpUnknownSecurityModels","snmpMPDStats","SNMP-MPD-MIB"
"","OBJECT-TYPE","","1.3.6.1.6.3.11.2.1.2","current","","2","SNMP-MPD-MIB::snmpInvalidMsgs","","Counter32","""The total number of packets received by the SNMP engine which were dropped because there were invalid or inconsistent components in the SNMP message.""","read-only","","","snmpInvalidMsgs","snmpMPDStats","SNMP-MPD-MIB"
"","OBJECT-TYPE","","1.3.6.1.6.3.11.2.1.3","current","","3","SNMP-MPD-MIB::snmpUnknownPDUHandlers","","Counter32","""The total number of packets received by the SNMP engine which were dropped because the PDU contained in the packet could not be passed to an application responsible for handling the pduType, e.g. no SNMP application had registered for the proper combination of the contextEngineID and the pduType.""","read-only","","","snmpUnknownPDUHandlers","snmpMPDStats","SNMP-MPD-MIB"
"","OBJECT IDENTIFIER","","1.3.6.1.6.3.11.3.1","","","1","SNMP-MPD-MIB::snmpMPDMIBCompliances","","","","","","","snmpMPDMIBCompliances","snmpMPDMIBConformance","SNMP-MPD-MIB"
"","OBJECT IDENTIFIER","","1.3.6.1.6.3.11.3.2","","","2","SNMP-MPD-MIB::snmpMPDMIBGroups","","","","","","","snmpMPDMIBGroups","snmpMPDMIBConformance","SNMP-MPD-MIB"
"","MODULE-COMPLIANCE","","1.3.6.1.6.3.11.3.1.1","","","1","SNMP-MPD-MIB::snmpMPDCompliance","","","","","","","snmpMPDCompliance","snmpMPDMIBCompliances","SNMP-MPD-MIB"
"","OBJECT-GROUP","{ snmpUnknownSecurityModels, snmpInvalidMsgs, snmpUnknownPDUHandlers }","1.3.6.1.6.3.11.3.2.1","current","","1","SNMP-MPD-MIB::snmpMPDGroup","","","""A collection of objects providing for remote monitoring of the SNMP Message Processing and Dispatching process.""","","","","snmpMPDGroup","snmpMPDMIBGroups","SNMP-MPD-MIB"
"","IMPORT","{ MODULE-IDENTITY,OBJECT-TYPE,snmpModules,Counter32,Integer32 }","","","","","SNMP-TARGET-MIB::","","","Objects imported from Module: SNMPv2-SMI","","","","SNMPv2-SMI","","SNMP-TARGET-MIB"
"","MODULE-IDENTITY","","1.3.6.1.6.3.12","","","12","SNMP-TARGET-MIB::snmpTargetMIB","","","""This MIB module defines MIB objects which provide mechanisms to remotely configure the parameters used by an SNMP entity for the generation of SNMP messages. Copyright (C) The Internet Society (2002). This version of this MIB module is part of RFC 3413; see the RFC itself for full legal notices.""","","","","snmpTargetMIB","snmpModules","SNMP-TARGET-MIB"
"","OBJECT IDENTIFIER","","1.3.6.1.6.3.12.1","","","1","SNMP-TARGET-MIB::snmpTargetObjects","","","","","","","snmpTargetObjects","snmpTargetMIB","SNMP-TARGET-MIB"
"","OBJECT IDENTIFIER","","1.3.6.1.6.3.12.3","","","3","SNMP-TARGET-MIB::snmpTargetConformance","","","","","","","snmpTargetConformance","snmpTargetMIB","SNMP-TARGET-MIB"
"","TEXTUAL-CONVENTION","","","current","","","SNMP-TARGET-MIB::SnmpTagValue","","OCTET STRING (SIZE (0..255))","""An octet string containing a tag value. Tag values are preferably in human-readable form. To facilitate internationalization, this information is represented using the ISO/IEC IS 10646-1 character set, encoded as an octet string using the UTF-8 character encoding scheme described in RFC 2279. Since additional code points are added by amendments to the 10646 standard from time to time, implementations must be prepared to encounter any code point from 0x00000000 to 0x7fffffff. The use of control codes should be avoided, and certain control codes are not allowed as described below. For code points not directly supported by user interface hardware or software, an alternative means of entry and display, such as hexadecimal, may be provided. For information encoded in 7-bit US-ASCII, the UTF-8 representation is identical to the US-ASCII encoding. Note that when this TC is used for an object that is used or envisioned to be used as an index, then a SIZE restriction must be specified so that the number of sub-identifiers for any object instance does not exceed the limit of 128, as defined by [RFC1905]. An object of this type contains a single tag value which is used to select a set of entries in a table. A tag value is an arbitrary string of octets, but may not contain a delimiter character. Delimiter characters are defined to be one of the following: - An ASCII space character (0x20). - An ASCII TAB character (0x09). - An ASCII carriage return (CR) character (0x0D). - An ASCII line feed (LF) character (0x0A). Delimiter characters are used to separate tag values in a tag list. An object of this type may only contain a single tag value, and so delimiter characters are not allowed in a value of this type. Note that a tag value of 0 length means that no tag is defined. In other words, a tag value of 0 length would never match anything in a tag list, and would never select any table entries. Some examples of valid tag values are: - 'acme' - 'router' - 'host' The use of a tag value to select table entries is application and MIB specific.""","","","","SnmpTagValue","","SNMP-TARGET-MIB"
"","TEXTUAL-CONVENTION","","","current","","","SNMP-TARGET-MIB::SnmpTagList","","OCTET STRING (SIZE (0..255))","""An octet string containing a list of tag values. Tag values are preferably in human-readable form. To facilitate internationalization, this information is represented using the ISO/IEC IS 10646-1 character set, encoded as an octet string using the UTF-8 character encoding scheme described in RFC 2279. Since additional code points are added by amendments to the 10646 standard from time to time, implementations must be prepared to encounter any code point from 0x00000000 to 0x7fffffff. The use of control codes should be avoided, except as described below. For code points not directly supported by user interface hardware or software, an alternative means of entry and display, such as hexadecimal, may be provided. For information encoded in 7-bit US-ASCII, the UTF-8 representation is identical to the US-ASCII encoding. An object of this type contains a list of tag values which are used to select a set of entries in a table. A tag value is an arbitrary string of octets, but may not contain a delimiter character. Delimiter characters are defined to be one of the following: - An ASCII space character (0x20). - An ASCII TAB character (0x09). - An ASCII carriage return (CR) character (0x0D). - An ASCII line feed (LF) character (0x0A). Delimiter characters are used to separate tag values in a tag list. Only a single delimiter character may occur between two tag values. A tag value may not have a zero length. These constraints imply certain restrictions on the contents of this object: - There cannot be a leading or trailing delimiter character. - There cannot be multiple adjacent delimiter characters. Some examples of valid tag lists are: - '' -- an empty list - 'acme' -- list of one tag - 'host router bridge' -- list of several tags Note that although a tag value may not have a length of zero, an empty string is still valid. This indicates an empty list (i.e. there are no tag values in the list). The use of the tag list to select table entries is application and MIB specific. Typically, an application will provide one or more tag values, and any entry which contains some combination of these tag values will be selected.""","","","","SnmpTagList","","SNMP-TARGET-MIB"
"","OBJECT-TYPE","","1.3.6.1.6.3.12.1.1","current","","1","SNMP-TARGET-MIB::snmpTargetSpinLock","","TestAndIncr","""This object is used to facilitate modification of table entries in the SNMP-TARGET-MIB module by multiple managers. In particular, it is useful when modifying the value of the snmpTargetAddrTagList object. The procedure for modifying the snmpTargetAddrTagList object is as follows: 1. Retrieve the value of snmpTargetSpinLock and of snmpTargetAddrTagList. 2. Generate a new value for snmpTargetAddrTagList. 3. Set the value of snmpTargetSpinLock to the retrieved value, and the value of snmpTargetAddrTagList to the new value. If the set fails for the snmpTargetSpinLock object, go back to step 1.""","read-write","","","snmpTargetSpinLock","snmpTargetObjects","SNMP-TARGET-MIB"
"","OBJECT-TYPE","","1.3.6.1.6.3.12.1.2","current","","2","SNMP-TARGET-MIB::snmpTargetAddrTable","","SEQUENCE OF SnmpTargetAddrEntry","""A table of transport addresses to be used in the generation of SNMP messages.""","not-accessible","","","snmpTargetAddrTable","snmpTargetObjects","SNMP-TARGET-MIB"
"","OBJECT-TYPE","","1.3.6.1.6.3.12.1.2.1","current","{ IMPLIED snmpTargetAddrName }","1","SNMP-TARGET-MIB::snmpTargetAddrEntry","","SnmpTargetAddrEntry","""A transport address to be used in the generation of SNMP operations. Entries in the snmpTargetAddrTable are created and deleted using the snmpTargetAddrRowStatus object.""","not-accessible","","","snmpTargetAddrEntry","snmpTargetAddrTable","SNMP-TARGET-MIB"
"","OBJECT-TYPE","","1.3.6.1.6.3.12.1.2.1.1","current","","1","SNMP-TARGET-MIB::snmpTargetAddrName","","SnmpAdminString (SIZE(1..32))","""The locally arbitrary, but unique identifier associated with this snmpTargetAddrEntry.""","not-accessible","","","snmpTargetAddrName","snmpTargetAddrEntry","SNMP-TARGET-MIB"
"","OBJECT-TYPE","","1.3.6.1.6.3.12.1.2.1.2","current","","2","SNMP-TARGET-MIB::snmpTargetAddrTDomain","","TDomain","""This object indicates the transport type of the address contained in the snmpTargetAddrTAddress object.""","read-create","","","snmpTargetAddrTDomain","snmpTargetAddrEntry","SNMP-TARGET-MIB"
"","OBJECT-TYPE","","1.3.6.1.6.3.12.1.2.1.3","current","","3","SNMP-TARGET-MIB::snmpTargetAddrTAddress","","TAddress","""This object contains a transport address. The format of this address depends on the value of the snmpTargetAddrTDomain object.""","read-create","","","snmpTargetAddrTAddress","snmpTargetAddrEntry","SNMP-TARGET-MIB"
"","OBJECT-TYPE","","1.3.6.1.6.3.12.1.2.1.4","current","","4","SNMP-TARGET-MIB::snmpTargetAddrTimeout","{ 1500 }","TimeInterval","""This object should reflect the expected maximum round trip time for communicating with the transport address defined by this row. When a message is sent to this address, and a response (if one is expected) is not received within this time period, an implementation may assume that the response will not be delivered. Note that the time interval that an application waits for a response may actually be derived from the value of this object. The method for deriving the actual time interval is implementation dependent. One such method is to derive the expected round trip time based on a particular retransmission algorithm and on the number of timeouts which have occurred. The type of message may also be considered when deriving expected round trip times for retransmissions. For example, if a message is being sent with a securityLevel that indicates both authentication and privacy, the derived value may be increased to compensate for extra processing time spent during authentication and encryption processing.""","read-create","","","snmpTargetAddrTimeout","snmpTargetAddrEntry","SNMP-TARGET-MIB"
"","OBJECT-TYPE","","1.3.6.1.6.3.12.1.2.1.5","current","","5","SNMP-TARGET-MIB::snmpTargetAddrRetryCount","{ 3 }","Integer32 (0..255)","""This object specifies a default number of retries to be attempted when a response is not received for a generated message. An application may provide its own retry count, in which case the value of this object is ignored.""","read-create","","","snmpTargetAddrRetryCount","snmpTargetAddrEntry","SNMP-TARGET-MIB"
"","OBJECT-TYPE","","1.3.6.1.6.3.12.1.2.1.6","current","","6","SNMP-TARGET-MIB::snmpTargetAddrTagList","{ "" "" }","SnmpTagList","""This object contains a list of tag values which are used to select target addresses for a particular operation.""","read-create","","","snmpTargetAddrTagList","snmpTargetAddrEntry","SNMP-TARGET-MIB"
"","OBJECT-TYPE","","1.3.6.1.6.3.12.1.2.1.7","current","","7","SNMP-TARGET-MIB::snmpTargetAddrParams","","SnmpAdminString (SIZE(1..32))","""The value of this object identifies an entry in the snmpTargetParamsTable. The identified entry contains SNMP parameters to be used when generating messages to be sent to this transport address.""","read-create","","","snmpTargetAddrParams","snmpTargetAddrEntry","SNMP-TARGET-MIB"
"","OBJECT-TYPE","","1.3.6.1.6.3.12.1.2.1.8","current","","8","SNMP-TARGET-MIB::snmpTargetAddrStorageType","{ nonVolatile }","StorageType","""The storage type for this conceptual row. Conceptual rows having the value 'permanent' need not allow write-access to any columnar objects in the row.""","read-create","","","snmpTargetAddrStorageType","snmpTargetAddrEntry","SNMP-TARGET-MIB"
"","OBJECT-TYPE","","1.3.6.1.6.3.12.1.2.1.9","current","","9","SNMP-TARGET-MIB::snmpTargetAddrRowStatus","","RowStatus","""The status of this conceptual row. To create a row in this table, a manager must set this object to either createAndGo(4) or createAndWait(5). Until instances of all corresponding columns are appropriately configured, the value of the corresponding instance of the snmpTargetAddrRowStatus column is 'notReady'. In particular, a newly created row cannot be made active until the corresponding instances of snmpTargetAddrTDomain, snmpTargetAddrTAddress, and snmpTargetAddrParams have all been set. The following objects may not be modified while the value of this object is active(1): - snmpTargetAddrTDomain - snmpTargetAddrTAddress An attempt to set these objects while the value of snmpTargetAddrRowStatus is active(1) will result in an inconsistentValue error.""","read-create","","","snmpTargetAddrRowStatus","snmpTargetAddrEntry","SNMP-TARGET-MIB"
"","OBJECT-TYPE","","1.3.6.1.6.3.12.1.3","current","","3","SNMP-TARGET-MIB::snmpTargetParamsTable","","SEQUENCE OF SnmpTargetParamsEntry","""A table of SNMP target information to be used in the generation of SNMP messages.""","not-accessible","","","snmpTargetParamsTable","snmpTargetObjects","SNMP-TARGET-MIB"
"","OBJECT-TYPE","","1.3.6.1.6.3.12.1.3.1","current","{ IMPLIED snmpTargetParamsName }","1","SNMP-TARGET-MIB::snmpTargetParamsEntry","","SnmpTargetParamsEntry","""A set of SNMP target information. Entries in the snmpTargetParamsTable are created and deleted using the snmpTargetParamsRowStatus object.""","not-accessible","","","snmpTargetParamsEntry","snmpTargetParamsTable","SNMP-TARGET-MIB"
"","OBJECT-TYPE","","1.3.6.1.6.3.12.1.3.1.1","current","","1","SNMP-TARGET-MIB::snmpTargetParamsName","","SnmpAdminString (SIZE(1..32))","""The locally arbitrary, but unique identifier associated with this snmpTargetParamsEntry.""","not-accessible","","","snmpTargetParamsName","snmpTargetParamsEntry","SNMP-TARGET-MIB"
"","OBJECT-TYPE","","1.3.6.1.6.3.12.1.3.1.2","current","","2","SNMP-TARGET-MIB::snmpTargetParamsMPModel","","SnmpMessageProcessingModel","""The Message Processing Model to be used when generating SNMP messages using this entry.""","read-create","","","snmpTargetParamsMPModel","snmpTargetParamsEntry","SNMP-TARGET-MIB"
"","OBJECT-TYPE","","1.3.6.1.6.3.12.1.3.1.3","current","","3","SNMP-TARGET-MIB::snmpTargetParamsSecurityModel","","SnmpSecurityModel (1..2147483647)","""The Security Model to be used when generating SNMP messages using this entry. An implementation may choose to return an inconsistentValue error if an attempt is made to set this variable to a value for a security model which the implementation does not support.""","read-create","","","snmpTargetParamsSecurityModel","snmpTargetParamsEntry","SNMP-TARGET-MIB"
"","OBJECT-TYPE","","1.3.6.1.6.3.12.1.3.1.4","current","","4","SNMP-TARGET-MIB::snmpTargetParamsSecurityName","","SnmpAdminString","""The securityName which identifies the Principal on whose behalf SNMP messages will be generated using this entry.""","read-create","","","snmpTargetParamsSecurityName","snmpTargetParamsEntry","SNMP-TARGET-MIB"
"","OBJECT-TYPE","","1.3.6.1.6.3.12.1.3.1.5","current","","5","SNMP-TARGET-MIB::snmpTargetParamsSecurityLevel","","SnmpSecurityLevel","""The Level of Security to be used when generating SNMP messages using this entry.""","read-create","","","snmpTargetParamsSecurityLevel","snmpTargetParamsEntry","SNMP-TARGET-MIB"
